Approval number	Name	Place	Region	Associated Activities	Remark	adr2	lat	lng
RS-1022	Mega R.L.A 	Aradac	Srednje-banatski okrug	CAT3		Mega R.L.A  , Aradac , Srednje-banatski okrug , Serbia	45.3771454	20.305076
RS-1062	Per-kat 	Botoš	Srednje-banatski okrug	CAT3		Per-kat  , Botoš , Srednje-banatski okrug , Serbia	45.3073019	20.6401155
RS-1063	Zif Commerce 	Senta	Severno-banatski okrug	CAT3		Zif Commerce  , Senta , Severno-banatski okrug , Serbia	45.9260128	20.0780937
RS-1067	Swiss Lider O.D.	Jablanica	Rasinski okrug	CAT3		Swiss Lider O.D. , Jablanica , Rasinski okrug , Serbia	43.422901	21.2798043
RS-65001	Daunen Komerc 	Velika Plana	Podunavski okrug	CAT3		Daunen Komerc  , Velika Plana , Podunavski okrug , Serbia	44.3358764	21.0770814
RS-65003	Daunen Komerc 	Torak	Srednje-banatski okrug	CAT3		Daunen Komerc  , Torak , Srednje-banatski okrug , Serbia	45.4912891	20.6465628
RS-681	Dan Ran 	Novo Miloševo	Srednje-banatski okrug	CAT3		Dan Ran  , Novo Miloševo , Srednje-banatski okrug , Serbia	45.72146619999999	20.2990855
RS-704	Stilex 	Zalug	Zlatiborski okrug	CAT3		Stilex  , Zalug , Zlatiborski okrug , Serbia	43.4085077	19.6285199
RS-40-004	Jelidej 	Mramor	Nišavski okrug	CAT3		Jelidej  , Mramor , Nišavski okrug , Serbia	43.3123978	21.7812312
RS-40-005	Agrokožar 	Bresnica	Pčinjski okrug	CAT3		Agrokožar  , Bresnica , Pčinjski okrug , Serbia		
RS-40-006	Dermax 	Bresnica	Pčinjski okrug	CAT3		Dermax  , Bresnica , Pčinjski okrug , Serbia		
RS-40-007	Petrović 	Svrljig	Nišavski okrug	CAT3		Petrović  , Svrljig , Nišavski okrug , Serbia	43.414844	22.131025
RS-40-009	Nokekožar 	Kupinince	Pčinjski okrug	CAT3		Nokekožar  , Kupinince , Pčinjski okrug , Serbia	42.5042652	21.8901512
RS-40-010	Stilex 	Zalug	Zlatiborski okrug	CAT3		Stilex  , Zalug , Zlatiborski okrug , Serbia	43.4085077	19.6285199
RS-40-012	Kotex-promet 	Mladenovac (selo)	Grad Beograd	CAT3		Kotex-promet  , Mladenovac (selo) , Grad Beograd , Serbia	44.4306847	20.6944656
RS-40-013	Leder Produkt 	Mladenovac (varoš)	Grad Beograd	CAT3		Leder Produkt  , Mladenovac (varoš) , Grad Beograd , Serbia	44.7854778	20.4746955
RS-40-015	Fontana 	Pirot	Pirotski okrug	CAT3		Fontana  , Pirot , Pirotski okrug , Serbia	43.162048	22.5984783
RS-40-021	MM 155 	Prnjavor	Šumadijski okrug	CAT3		MM 155  , Prnjavor , Šumadijski okrug , Serbia	43.98200550000001	20.9394888
RS-40-022	Kulakoža 	Kula	Zapadno-bački okrug	CAT3		Kulakoža  , Kula , Zapadno-bački okrug , Serbia	45.6146977	19.53816
RS-40-032	Evroper 	Jaša Tomić	Srednje-banatski okrug	CAT3		Evroper  , Jaša Tomić , Srednje-banatski okrug , Serbia	45.4417605	20.8614438
RS-47-042	Doo Pahuljica-commerce	Bačko Petrovo Selo	Južno-bački okrug	CAT3		Doo Pahuljica-commerce , Bačko Petrovo Selo , Južno-bački okrug , Serbia	45.6993526	20.0806271
RS-47-045	Familija Janković 	Bačko Petrovo Selo	Južno-bački okrug	CAT3		Familija Janković  , Bačko Petrovo Selo , Južno-bački okrug , Serbia	45.7016895	20.0781701
RS-47-048	Lederex 	Pirot	Pirotski okrug	CAT3		Lederex  , Pirot , Pirotski okrug , Serbia	43.1557012	22.5856811
RS-47-056	AGROSISTEM  GLOBODER	Kruševac	Rasinski okrug	CAT3		AGROSISTEM  GLOBODER , Kruševac , Rasinski okrug , Serbia	43.5763232	21.3335812
RS-47-071	OXXO 	Zaječar	Zaječarski okrug	CAT3		OXXO  , Zaječar , Zaječarski okrug , Serbia	43.913601	22.3032
RS-47-114	KOSTAS ZACHARIA 	Inđija	Sremski okrug	CAT3		KOSTAS ZACHARIA  , Inđija , Sremski okrug , Serbia	45.0454186	20.0909327
RS-37-352	Farmina Pet Foods	Inđija	Sremski okrug	CAT3		Farmina Pet Foods , Inđija , Sremski okrug , Serbia	45.0457922	20.1012641
RS-48-026	TRONTEAM 	Novi Sad	Južno-bački okrug	CAT3		TRONTEAM  , Novi Sad , Južno-bački okrug , Serbia	45.2671352	19.8335496
RS-65006	P.P. Forma 	Novi Pazar	Raški okrug	CAT3		P.P. Forma  , Novi Pazar , Raški okrug , Serbia	43.1277081	20.5135151
RS-700	A.D. Ruma 	Ruma	Sremski okrug	CAT3		A.D. Ruma  , Ruma , Sremski okrug , Serbia	45.0079235	19.8226157
RS-30-002	Veterinarski Zavod Subotica A.D	Subotica	Severno-bački okrug	CAT3		Veterinarski Zavod Subotica A.D , Subotica , Severno-bački okrug , Serbia	46.0780386	19.679212
RS-30-112	DTD Ribarstvo 	Bački Jarak	Južno-bački okrug	CAT3		DTD Ribarstvo  , Bački Jarak , Južno-bački okrug , Serbia	45.3697043	19.8875499
